model_name,tokenizer_name,method,instr_mode,instr_fixed_id,epochs,lr,wd,train_bs,eval_bs,fp16,bf16,early_stopping_patience,early_stopping_threshold,early_stopping_enabled,num_beams,max_gen_len,max_src_len,max_tgt_len,output_dir,elapsed_sec,q_rouge1,q_rouge2,q_rougeL,q_bleu,q_bleu_p1,q_bleu_p2,q_bleu_p3,q_bleu_p4,q_bleu_bp,q_bleu_len_ratio,q_bleu_pred_len,q_bleu_ref_len,q_chrf,a_rouge1,a_rouge2,a_rougeL,a_bleu,a_bleu_p1,a_bleu_p2,a_bleu_p3,a_bleu_p4,a_bleu_bp,a_bleu_len_ratio,a_bleu_pred_len,a_bleu_ref_len,a_chrf,a_in_ctx,qa_format_ok
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50-many-to-many-mmt,pipeline,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/mbart_large_50_many_to_many_mmt_pipeline_ckpt,1830.1611182689667,0.5585686933996614,0.3207483028077902,0.4300430779794681,0.16745401954293768,0.43426519620415494,0.222252800176129,0.12911174444840282,0.07979117656537012,0.9430068679778137,0.9445709578952468,38990.0,41278.0,34.60185977999594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50-many-to-many-mmt,multitask,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/mbart_large_50_many_to_many_mmt_multitask_ckpt,3276.9673731327057,0.557390107870688,0.32118752568568293,0.4294539809220822,0.1709935856229187,0.43046474642162924,0.222754329004329,0.13073133762788935,0.08068490554116384,0.9588394268079898,0.9596637433984204,39613.0,41278.0,34.49875186589967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50-many-to-many-mmt,end2end,na,-1,10,2e-05,0.01,16,16,1,0,2,0.0,1,4,128,512,128,checkpoints/mbart_large_50_many_to_many_mmt_end2end_ckpt,1737.9943935871124,0.4107250089448773,0.14295647364953978,0.2929622535651433,0.05954677659133543,0.2470450674868458,0.08100741386829481,0.036991332451887765,0.020680644955707095,0.9519562836012431,0.9530742768544987,39341.0,41278.0,19.934558855056693,0.2129886043229005,0.09789511323413275,0.1829367405584897,0.10718990704807761,0.141829281587267,0.10568647953028232,0.09588429604499599,0.09185076092292588,1.0,1.0039766508573513,27519.0,27410.0,16.63425373314521,0.9739917075009423,1.0
google/mt5-base,google/mt5-base,pipeline,na,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_base_pipeline_ckpt,3265.1908118724823,0.5289377843061172,0.28495329242853873,0.39961727566358596,0.13582733783646028,0.34233900814211693,0.17032381532305418,0.09711516270482345,0.06010767755734199,1.0,1.1782547604050584,48636.0,41278.0,33.45115708846738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/mt5-base,google/mt5-base,multitask,na,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_base_multitask_ckpt,12329.868316173553,0.5395031629646629,0.2967699446542057,0.407357797531842,0.14313510321661893,0.35573005720558126,0.1782871198568873,0.1028597237739796,0.06434261937382656,1.0,1.147657347739716,47373.0,41278.0,33.906716136896684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
google/mt5-base,google/mt5-base,end2end,na,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_base_end2end_ckpt,6274.7462520599365,0.41703151177173303,0.14491127314795077,0.29122272846804853,0.048708748627853196,0.19071973383828553,0.06356073829242025,0.028827561961680435,0.01610776963005685,1.0,1.3689374485197927,56507.0,41278.0,22.058776361717882,0.23034590395553028,0.10984890003922368,0.19213851026459997,0.0984213179564364,0.1301775147928994,0.09734351005065438,0.08821457204635456,0.0839408563507547,1.0,1.6832178037212695,46137.0,27410.0,21.552702335878994,0.9291368262344516,1.0
google/mt5-small,google/mt5-small,instruction,fixed,0,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_small_instruction_fixed_ckpt,3608.03692483902,0.4004081133863906,0.1329414167298595,0.2770531307563364,0.04205925072258268,0.16618278212572582,0.052945341962683,0.025107628723953848,0.014165328328852157,1.0,1.5353457047337564,63376.0,41278.0,21.643337074865933,0.23517744233075458,0.1061651669855786,0.19206678974215108,0.08674265893052448,0.1221499064148375,0.08621811410495143,0.07602713729955404,0.07070833751379553,1.0,1.7152863918278,47016.0,27410.0,20.831824057608685,0.8330192235205428,1.0
google/mt5-small,google/mt5-small,instruction,random,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_small_instruction_random_ckpt,3497.1792912483215,0.393298500484643,0.12484415472767474,0.27013660904268033,0.037908492422066856,0.1600377907877211,0.0480836011823042,0.022274721565980427,0.012047979931810553,1.0,1.564174620863414,64566.0,41278.0,21.071269099884695,0.239199409382624,0.10782388839871346,0.19484906021547654,0.0828982023012908,0.11840882694541231,0.08269512791266091,0.07213417514925052,0.06686138658696734,1.0,1.8847136081722,51660.0,27410.0,21.60395189509433,0.8518658122879759,1.0
vinai/bartpho-syllable,vinai/bartpho-syllable,instruction,fixed,0,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_syllable_instruction_fixed_ckpt,2142.0777564048767,0.4065415457768494,0.14408215225190382,0.2895640319025793,0.05642367119943346,0.20171961364524593,0.07059514487079091,0.03473269044128276,0.02049198234805785,1.0,1.3017345801637676,53733.0,41278.0,21.729114037482592,0.23722650217847957,0.12253306063499608,0.19795844910377414,0.08603346546615269,0.11665826895084537,0.0862289181108305,0.0764843103318534,0.07120800973144943,1.0,2.606639912440715,71448.0,27410.0,24.890445289620082,0.8277421786656615,1.0
vinai/bartpho-syllable,vinai/bartpho-syllable,instruction,random,-1,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_syllable_instruction_random_ckpt,2205.3842380046844,0.41334900258181884,0.14696269972967324,0.2922583496896329,0.054749253982158665,0.19817173302193192,0.0705999654861657,0.03335353535353535,0.019254167822912886,1.0,1.327729056640341,54806.0,41278.0,22.11488109764394,0.23036041346712632,0.11748169274403186,0.19270031788547176,0.083900817812789,0.1139053039652694,0.0842311459353575,0.07453493825230577,0.06929281803751336,1.0,2.5126960963152136,68873.0,27410.0,23.867430347024385,0.8318884281944968,1.0
VietAI/vit5-base,VietAI/vit5-base,instruction,fixed,0,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/vit5_base_instruction_fixed_ckpt,2507.6964139938354,0.42136774881916306,0.1504249198005035,0.30180651834320793,0.06377338093557802,0.25939730372720066,0.08900702163345368,0.04175378182265404,0.02470623681831877,0.9128857033436419,0.9164688211638161,37830.0,41278.0,20.78209925887946,0.24120628331452976,0.11666321015199314,0.20510819557228505,0.10234426528934196,0.1338532186000331,0.10152984176314811,0.09197429174690828,0.08777383429200832,1.0,1.763735862823787,48344.0,27410.0,22.470616206531854,0.9347908028646815,1.0
VietAI/vit5-base,VietAI/vit5-base,instruction,random,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/vit5_base_instruction_random_ckpt,2220.986828327179,0.41427473129269354,0.14227056598817817,0.2931925219667318,0.06310910533755797,0.24526524793809185,0.08236193388113892,0.03996703749484961,0.02407023144453312,0.9505081158765204,0.9516933959978681,39284.0,41278.0,20.3476380947635,0.2350946521505718,0.11726586861186528,0.19771211019624474,0.08960629463296463,0.11912476976601405,0.08940213993533751,0.08021940991463232,0.07546135932210024,1.0,2.139219263042685,58636.0,27410.0,22.9961495058605,0.8888051262721447,1.0
vinai/bartpho-word,vinai/bartpho-word,instruction,fixed,0,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_word_instruction_fixed_ckpt,2225.597805738449,0.40952418444990796,0.13890290472776196,0.28978587598468813,0.05503992634021228,0.21507077976977607,0.0704296623424418,0.032849129167381134,0.018443804034582133,1.0,1.1175202286932506,46129.0,41278.0,20.461899541796495,0.23216276004106073,0.1199187335340069,0.19504998502693438,0.08556883143833405,0.11514988459523372,0.0861044956043633,0.07630546609069956,0.07086265517514034,1.0,2.576468442174389,70621.0,27410.0,24.440577620742268,0.8243497926875235,1.0
vinai/bartpho-word,vinai/bartpho-word,instruction,random,-1,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/bartpho_word_instruction_random_ckpt,2266.8504660129547,0.41303568689628845,0.13944430326376597,0.2914234420071268,0.05727286472077526,0.2251318632804331,0.07280110935023772,0.033765338846041715,0.0194423855407948,1.0,1.0426134987160232,43037.0,41278.0,20.085040715352758,0.22931770245919017,0.1115816393511483,0.19188827821393106,0.07919731201657261,0.10933757812956364,0.07928866480379054,0.07009567111868902,0.06473960039305601,1.0,2.4982123312659614,68476.0,27410.0,22.91559799760548,0.8126649076517151,1.0
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50-many-to-many-mmt,instruction,fixed,0,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/mbart_large_50_many_to_many_mmt_instruction_fixed_ckpt,2241.511387825012,0.4119826452081039,0.14134974166849767,0.29299449630245383,0.05904631142902795,0.25463810812962817,0.081772498857926,0.038583917704117884,0.022175112726293827,0.9088496954014225,0.9127622462328601,37677.0,41278.0,19.84175580377558,0.21396844900334722,0.09564856018590956,0.183362985189805,0.10228361891524211,0.1506797741058356,0.11490683229813664,0.10761112887751839,0.1056026759049098,0.8636203248443719,0.8721269609631521,23905.0,27410.0,16.03557921044424,0.9822842065586129,1.0
facebook/mbart-large-50-many-to-many-mmt,facebook/mbart-large-50-many-to-many-mmt,instruction,random,-1,10,2e-05,0.01,8,8,1,0,2,0.0,1,4,128,512,128,checkpoints/mbart_large_50_many_to_many_mmt_instruction_random_ckpt,2396.940993309021,0.40834568273558897,0.13931920792683358,0.2896170661547063,0.057879964025786705,0.24805376790533526,0.07934119220800936,0.03644297321697262,0.020799947673087616,0.9313182295131397,0.9335723630020835,38536.0,41278.0,19.720539773797686,0.21458605388627697,0.0985541017939507,0.1840346724741153,0.10537215379773628,0.1542125755943998,0.11721185612582011,0.10940287543288908,0.10713657420981645,0.873396406228768,0.8807734403502372,24142.0,27410.0,16.19239207565874,0.973237843950245,1.0
google/mt5-base,google/mt5-base,instruction,fixed,0,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_base_instruction_fixed_ckpt,7153.388794898987,0.4063195823122916,0.14037949391092966,0.28486187822657794,0.044464868379172885,0.16720406053780526,0.05678345076086607,0.0266328365231126,0.015459022159690469,1.0,1.5703037937884587,64819.0,41278.0,22.03635047376865,0.21313799795278082,0.10174806436355853,0.17756586027796029,0.09862065498179938,0.13091928680981596,0.09730387188323536,0.08829452992830097,0.08410154588001702,1.0,1.5223641006931776,41728.0,27410.0,20.223769308484226,0.8333961552958914,1.0
google/mt5-base,google/mt5-base,instruction,random,-1,10,2e-05,0.01,8,8,0,1,2,0.0,1,4,128,512,128,checkpoints/mt5_base_instruction_random_ckpt,7235.82274389267,0.41425581231726094,0.1436179634968454,0.2888782868263078,0.047253177539480884,0.18314391693907622,0.061857132723274456,0.028100865357774264,0.01566109392741083,1.0,1.4303260816900043,59041.0,41278.0,22.196502510618828,0.22074493191628938,0.10455266398582158,0.18532328419794322,0.09651472127935011,0.12787043196990205,0.09555161439226452,0.08633093525179857,0.08226207047135566,1.0,1.5903319956220356,43591.0,27410.0,20.57161222435009,0.8921975122502827,1.0
